角色名,总时长(时:分:秒.毫秒),音频数量,标注数量
littleDehya,0:00:03.075000,1,1
mikoshiGenjiro,0:00:00.399000,1,1
samurai,0:00:06.676000,1,1
thoarderA,0:00:02.773000,1,1
yataKoki,0:00:01.055000,1,1
yoshiharu,0:00:54.152000,14,14
「丑角」,0:00:20.743000,3,3
「仆人」,0:18:15.556000,142,142
「千日喧哗大飞车」,0:00:32.655000,6,6
「博士」,0:12:28.767000,92,92
「卡布斯」,0:04:09.303000,41,41
「大肉丸」,0:17:42.517000,149,149
「女士」,0:07:25.084000,68,68
「寝子」,0:00:12.520000,2,2
「小王子」,0:00:02.055000,3,3
「怪力三十三」,0:00:41.592000,9,9
「怪鸟」,0:00:34.891000,7,7
「愚人众」守卫,0:00:44.533000,11,11
「没疤脸」帕奇诺,0:00:12.149000,4,4
「法拉西亚」,0:00:27.664000,5,5
「电气鞘翅」,0:00:33.505000,6,6
「白老先生」,0:08:26.139000,76,76
「窃贼」,0:00:19.040000,3,3
「粉刷匠」德尼禄,0:00:09.576000,2,2
「胆小」的守卫,0:00:41.632000,16,16
「花角玉将」,0:06:15.515000,60,60
「贡达法」,0:03:30.197000,27,27
「贪婪」的守卫,0:01:06.309000,22,22
「越石丸」,0:01:10.507000,9,9
「造笼师」,0:00:20.441000,3,3
「金龟奇术番长」,0:00:42.129000,7,7
「集群」成员,0:00:08.340000,1,1
「集群」的杂音,0:00:50.128000,10,10
一平,0:03:58.145000,52,52
一弦,0:00:08.492000,2,2
一柱,0:00:09.393000,4,4
一正,0:00:58.945000,21,21
一然,0:00:08.907000,4,4
一道,0:00:11.631000,3,3
一阔,0:00:02.701000,1,1
七七,0:15:50.264000,204,204
七叶寂照秘密主,0:02:30.899000,26,26
七尾,0:01:30.740000,15,15
七郎,0:00:02.111000,1,1
万叶,0:00:01.544000,1,1
万货通,0:00:02.632000,1,1
三河茜,0:00:03.184000,1,1
三浦,0:00:02.735000,1,1
三田,0:01:54.231000,20,20
上杉,0:05:52.268000,53,53
上野,0:00:55.528000,15,15
不满的观众,0:00:02.544000,1,1
不耐烦的观众,0:00:02.617000,1,1
不解的观众,0:00:02.563000,1,1
丘丘人,0:00:16.724000,8,8
东东,0:00:05.320000,2,2
东升,0:01:06.115000,13,13
东雅,0:00:05.517000,2,2
丝柯克,0:03:13.668000,35,35
严备,0:00:07.872000,1,1
严肃的观众,0:00:04.265000,1,1
中西,0:00:04.836000,1,1
中野,0:00:06.516000,1,1
中野志乃,0:01:20.059000,14,14
丹丹,0:00:20.589000,7,7
丹吉尔,0:07:02.352000,69,69
丹羽,0:04:11.440000,27,27
丹迪,0:00:01.588000,1,1
丽玛,0:01:10.316000,15,15
丽莎,1:08:31.119000,683,683
乃亚卜,0:00:06.391000,2,2
久保,0:00:08.265000,4,4
久利须,0:07:41.653000,77,77
久岐妙,0:00:10.931000,1,1
久岐忍,0:47:57.092000,601,601
久彦,0:01:21.508000,13,13
久美,0:00:03.424000,1,1
义坚,0:00:15.448000,6,6
义高,0:00:25.920000,10,10
乌代,0:01:14.768000,14,14
乌姆,0:00:06.684000,2,2
乌宰尔,0:01:49.439000,23,23
乌尔曼,0:00:02.916000,1,1
乌尔法,0:00:01.917000,1,1
乌尔班,0:00:03.895000,1,1
乌森,0:00:32.123000,5,5
乌纳因,0:01:16.380000,18,18
乌维,0:03:35.183000,42,42
乌达德,0:00:04.977000,2,2
乌迪诺,0:00:06.853000,2,2
乐平波琳,0:06:47.936000,66,66
乐明,0:00:27.797000,5,5
乐观的观众,0:00:02.292000,1,1
乔伊斯,0:00:10.580000,3,3
乔姨,0:00:03.600000,1,1
乔尔,0:01:13.496000,21,21
乔瑟夫,0:00:57.744000,11,11
九条孝行,0:01:46.344000,18,18
九条政仁,0:00:07.032000,2,2
九条裟罗,0:42:14.580000,422,422
九条镰治,0:09:03.337000,108,108
书摊老板,0:00:13.716000,3,3
买书的顾客,0:00:12.380000,3,3
乾子,0:00:24.411000,4,4
乾玮,0:01:47.804000,23,23
于嫣,0:00:35.439000,9,9
云叔,0:02:12.744000,26,26
云堇,0:52:48.824000,619,619
云淡,0:00:01.908000,1,1
五郎,0:57:24.213000,713,713
井上,0:00:03.211000,1,1
井手,0:00:08.840000,3,3
亚卡巴,0:03:38.351000,39,39
亚历克塞,0:01:06.668000,14,14
亚历山德拉,0:00:04.153000,2,2
亚拉,0:01:19.867000,11,11
亢奋的观众,0:00:01.673000,1,1
亮子,0:00:13.985000,3,3
人群,0:00:09.089000,3,3
仁羽,0:00:02.953000,1,1
今泉,0:01:12.236000,14,14
今谷三郎,0:02:55.973000,23,23
今谷佳祐,0:02:42.225000,42,42
今谷香里,0:02:36.123000,23,23
仲林,0:00:03.356000,1,1
伊万,0:00:03.396000,2,2
伊丝黛莱,0:02:02.679000,21,21
伊丽丝,0:00:11.757000,4,4
伊代尔,0:00:05.412000,1,1
伊凡诺维奇,0:01:27.435000,18,18
伊利亚斯,0:10:29.083000,128,128
伊娜丝,0:00:20.519000,5,5
伊娜姆,0:00:06.511000,2,2
伊尔佳,0:00:10.156000,2,2
伊庭,0:03:17.212000,27,27
伊德里西,0:03:54.544000,44,44
伊扎德,0:01:18.083000,16,16
伊拉兹,0:00:03.961000,2,2
伊拉杰,0:00:05.753000,2,2
伊泽姆,0:00:05.012000,2,2
伊洁贝儿,0:01:12.004000,14,14
伊莉米娅,0:00:07.624000,1,1
伊莎朵,0:02:06.695000,22,22
伊萨克,0:03:22.561000,56,56
伊萨米,0:00:08.112000,2,2
伊薇特,0:00:03.524000,1,1
伊达里,0:00:05.587000,3,3
伊迪娅,0:21:41.224000,239,239
伍德,0:00:01.893000,1,1
休闲鸦,0:00:11.087000,2,2
众人,0:00:20.284000,6,6
优丹,0:00:07.640000,4,4
优午,0:00:07.035000,1,1
优律,0:00:10.712000,3,3
优素福,0:00:06.347000,2,2
优菈,0:49:48.892000,588,588
会场主持人,0:00:21.471000,5,5
传令兵,0:00:25.077000,6,6
传次郎,0:01:36.497000,20,20
伦纳德,0:00:16.613000,4,4
伯德里科,0:00:29.987000,8,8
伯恩哈德,0:03:25.859000,43,43
伯桓子,0:00:07.240000,1,1
伶一,0:00:04.656000,2,2
伶俐鬼,0:00:37.732000,7,7
伸夫,0:01:10.881000,9,9
伸缩风蕈兽,0:00:04.831000,4,4
伽吠毗陀,0:03:48.041000,37,37
伽拉蒂雅,0:00:27.024000,4,4
低吟的浮游水蕈兽,0:00:01.244000,1,1
佐佐木,0:00:08.827000,3,3
佐藤,0:00:03.516000,1,1
佐西摩斯,0:10:59.292000,115,115
佐赫蕾,0:00:13.019000,4,4
佑旭,0:00:04.275000,1,1
佩佩,0:00:03.457000,2,2
佩尔西科夫,0:03:13.021000,27,27
佩鲁,0:00:10.583000,2,2
侍从丙,0:02:09.495000,22,22
侍从乙,0:00:50.104000,9,9
侍从甲,0:01:34.427000,14,14
侯赛因,0:00:05.811000,2,2
俊明,0:00:33.803000,7,7
保琳,0:00:16.029000,3,3
信博,0:02:02.927000,25,25
信盛,0:00:02.615000,1,1
修永,0:00:18.475000,4,4
倨傲的剑客,0:00:19.993000,3,3
债务处理人,0:01:05.287000,15,15
健三郎,0:00:46.197000,12,12
健司,0:01:18,11,11
健次郎,0:00:57.772000,8,8
健谈的村民,0:01:28.173000,14,14
傅三儿,0:01:31.049000,15,15
元助,0:00:11.881000,4,4
元太,0:06:10.073000,98,98
元蓉,0:00:27.589000,6,6
光之,0:02:12.705000,28,28
克列门特,0:05:07.733000,55,55
克叙涅,0:00:04.260000,1,1
克洛琳德,0:06:06.909000,90,90
克洛达尔,0:01:23.579000,19,19
克罗丽丝,0:00:05.888000,1,1
克罗索,0:05:41.223000,47,47
克里托夫,0:00:02.853000,1,1
克雷门斯,0:00:03.925000,1,1
八木,0:00:04.724000,2,2
八重神子,2:02:31.800000,1065,1065
公主,0:03:42.095000,39,39
公俊,0:00:08.375000,1,1
公明,0:00:01.481000,1,1
六指乔瑟,0:01:02.708000,19,19
兰丘,0:00:25.605000,6,6
兰巴德,0:01:14.329000,13,13
兰溪,0:00:49.984000,6,6
兰达,0:00:04.796000,1,1
兰道夫,0:00:01.209000,1,1
兰道尔,0:00:57.444000,11,11
兰那罗A,0:00:01.112000,1,1
关宏,0:00:21.557000,5,5
