角色名,总时长(时:分:秒.毫秒),音频数量,标注数量
Fatui Guard,0:00:40.201000,11,11
Fatui Recruits,0:00:03.188000,3,3
Fatuus,0:00:04.667000,2,2
Frustrated Audience Member,0:00:07.919000,1,1
Izzard,0:00:41.163000,14,14
littleDehya,0:00:02.747000,1,1
mikoshiGenjiro,0:00:00.525000,1,1
Qamar,0:00:11.840000,2,2
Raptor,0:00:44.123000,7,7
Sinister Convict,0:00:32.100000,6,6
Smiley Yanxiao,0:06:39.389000,77,77
Squirrel,0:02:06.384000,19,19
Suspicious Audience Member,0:00:18.465000,3,3
urakusai,0:05:16.747000,38,38
yataKoki,0:00:00.395000,1,1
「丑角」,0:00:27.236000,3,3
「仆人」,0:21:03.069000,142,142
「千日喧哗大飞车」,0:00:39.855000,6,6
「博士」,0:12:19.084000,92,92
「卡布斯」,0:04:56.615000,41,41
「大肉丸」,0:21:24.643000,157,157
「女士」,0:07:46.703000,68,68
「寝子」,0:00:13.664000,2,2
「怪力三十三」,0:00:41.693000,9,9
「愚人众」,0:00:05.039000,4,4
「法拉西亚」,0:00:31.901000,5,5
「深渊使徒」,0:06:59.629000,44,44
「深渊咏者」,0:00:10.577000,2,2
「电气鞘翅」,0:00:37.884000,6,6
「白老先生」,0:11:35.565000,76,76
「胆小」的守卫,0:00:50.220000,16,16
「花角玉将」,0:08:22.143000,60,60
「贡达法」,0:04:14.815000,27,27
「贪婪」的守卫,0:01:04.217000,22,22
「越石丸」,0:01:11.745000,9,9
「造笼师」,0:00:25.368000,3,3
「金龟奇术番长」,0:00:42.891000,7,7
「镀金旅团」佣兵,0:00:10.581000,4,4
「集群」成员,0:00:06.747000,1,1
一平,0:04:34.512000,52,52
一弦,0:00:10.349000,2,2
一柱,0:00:16.517000,4,4
一正,0:01:30.300000,21,21
一然,0:00:16.320000,4,4
一道,0:00:15.971000,3,3
一阔,0:00:03.313000,1,1
七七,0:17:45.435000,204,204
七叶寂照秘密主,0:02:24.139000,26,26
七尾,0:02:02.828000,15,15
七郎,0:00:06.564000,1,1
万叶,0:00:38.409000,5,5
万货通,0:00:02.915000,1,1
三河茜,0:00:04.384000,1,1
三浦,0:00:03.620000,1,1
三田,0:02:03.597000,20,20
上杉,0:07:52.915000,53,53
上野,0:01:04.496000,15,15
不满的观众,0:00:02.481000,1,1
不耐烦的观众,0:00:04.111000,1,1
不解的观众,0:00:02.832000,1,1
丘丘人,0:00:16.724000,8,8
东东,0:00:08.388000,2,2
东升,0:01:01.944000,13,13
东雅,0:00:07.719000,2,2
丝柯克,0:03:59.123000,35,35
严备,0:00:08.808000,1,1
严肃的观众,0:00:04.511000,1,1
中西,0:00:03.536000,1,1
中野,0:00:09.624000,1,1
中野志乃,0:01:22.444000,14,14
丹丹,0:00:23.108000,7,7
丹吉尔,0:07:50.623000,69,69
丹羽,0:04:18.145000,27,27
丹迪,0:00:03.656000,1,1
丽玛,0:01:20.421000,15,15
丽莎,1:01:56.343000,678,678
乃亚卜,0:00:07.741000,2,2
久保,0:00:09.097000,4,4
久利须,0:07:22.296000,77,77
久岐妙,0:00:15.756000,1,1
久岐忍,0:57:08.884000,601,601
久彦,0:01:08.771000,13,13
久美,0:00:03.712000,1,1
义坚,0:00:17.532000,6,6
义高,0:00:25.553000,10,10
乌代,0:01:07.396000,14,14
乌姆,0:00:10.305000,2,2
乌宰尔,0:02:33.321000,23,23
乌尔曼,0:00:02.799000,1,1
乌尔法,0:00:04.313000,1,1
乌尔班,0:00:01.793000,1,1
乌森,0:00:33.773000,5,5
乌纳因,0:01:32.197000,18,18
乌维,0:03:47.216000,42,42
乌达德,0:00:04.479000,2,2
乌迪诺,0:00:06.555000,2,2
乐平波琳,0:08:27.004000,66,66
乐明,0:00:38.052000,5,5
乐观的观众,0:00:02.987000,1,1
乔伊斯,0:00:18.483000,3,3
乔姨,0:00:06.748000,1,1
乔尔,0:01:54.336000,21,21
乔瑟夫,0:01:11.727000,11,11
九条孝行,0:02:15.917000,18,18
九条政仁,0:00:05.469000,2,2
九条裟罗,0:50:04.071000,422,422
九条镰治,0:10:21.084000,108,108
书摊老板,0:00:16.579000,3,3
买书的顾客,0:00:15.213000,3,3
乾子,0:00:21.857000,4,4
乾玮,0:02:26.303000,23,23
于嫣,0:00:34.304000,9,9
云叔,0:02:15.540000,26,26
云堇,1:06:18.647000,619,619
云淡,0:00:04.259000,1,1
五郎,1:08:38.509000,713,713
井上,0:00:04.427000,1,1
井手,0:00:07.335000,3,3
亚卡巴,0:04:42.321000,39,39
亚历克塞,0:01:13.985000,14,14
亚历山德拉,0:00:06.063000,2,2
亚拉,0:01:05.393000,11,11
亢奋的观众,0:00:02.525000,1,1
仁羽,0:00:02.671000,1,1
今泉,0:01:27.477000,14,14
今谷三郎,0:02:45.224000,23,23
今谷佳祐,0:03:00.223000,42,42
今谷香里,0:02:57.211000,23,23
仲林,0:00:03.019000,1,1
伊丝黛莱,0:02:19.061000,21,21
伊丽丝,0:00:16.443000,5,5
伊代尔,0:00:05.407000,1,1
伊凡,0:00:03.708000,2,2
伊凡诺维奇,0:01:13.227000,18,18
伊利亚斯,0:10:32.629000,128,128
伊娜丝,0:00:22.551000,5,5
伊娜姆,0:00:06.228000,2,2
伊尔佳,0:00:07.388000,2,2
伊庭,0:02:28.433000,27,27
伊德里西,0:04:17.336000,44,44
伊扎德,0:00:10.637000,2,2
伊拉兹,0:00:04.280000,2,2
伊拉杰,0:00:08.531000,2,2
伊泽姆,0:00:05.987000,2,2
伊洁贝儿,0:01:12.569000,14,14
伊莉米娅,0:00:07.711000,1,1
伊莎朵,0:02:30.385000,22,22
伊萨克,0:04:18.613000,56,56
伊萨米,0:00:08.029000,2,2
伊薇特,0:00:04.120000,1,1
伊达里,0:00:08.601000,3,3
伊迪娅,0:25:08.076000,239,239
伍德,0:00:03.148000,1,1
休闲鸦,0:00:10.324000,2,2
众人,0:02:13.811000,53,53
优丹,0:00:08.525000,4,4
优午,0:00:05.661000,1,1
优律,0:00:14.867000,3,3
优素福,0:00:07.573000,2,2
优菈,0:59:20.284000,589,589
会场主持人,0:00:24.872000,5,5
传令兵,0:00:28.937000,6,6
传次郎,0:02:05.356000,20,20
伦纳德,0:00:24.201000,4,4
伯德里科,0:00:32.925000,8,8
伯恩哈德,0:04:12.589000,43,43
伯桓子,0:00:04.629000,1,1
伶一,0:00:08.357000,2,2
伶俐鬼,0:00:42.857000,7,7
伸夫,0:01:30.841000,9,9
伸缩风蕈兽,0:00:04.831000,4,4
伽吠毗陀,0:03:21.747000,37,37
伽拉蒂雅,0:00:33.161000,4,4
低吟的浮游水蕈兽,0:00:01.244000,1,1
佐佐木,0:00:10.579000,3,3
佐藤,0:00:04.347000,1,1
佐西摩斯,0:09:45.243000,85,85
佐赫蕾,0:00:14.548000,4,4
佑旭,0:00:03.613000,1,1
佩佩,0:00:03.973000,2,2
佩尔西科夫,0:02:51.796000,27,27
佩鲁,0:00:14.148000,2,2
侍从丙,0:01:37.041000,22,22
侍从乙,0:00:37.989000,9,9
侍从甲,0:01:20.772000,13,13
侯赛因,0:00:08.963000,2,2
俊明,0:00:27.103000,7,7
保琳,0:00:22.627000,3,3
信博,0:02:48.781000,25,25
信盛,0:00:02.513000,1,1
修永,0:00:17.947000,4,4
倨傲的剑客,0:00:20.360000,3,3
债务处理人,0:01:28.091000,15,15
健三郎,0:00:50.935000,12,12
健司,0:01:26.768000,11,11
健次郎,0:01:04.463000,8,8
健谈的村民,0:01:10.436000,14,14
傅三儿,0:01:34.741000,15,15
元助,0:00:14.048000,4,4
元太,0:06:56.965000,98,98
元蓉,0:00:49.589000,6,6
光之,0:02:58.076000,28,28
克列门特,0:05:30.316000,55,55
克叙涅,0:00:05.436000,1,1
克洛琳德,0:07:38.488000,90,90
克罗丽丝,0:00:04.275000,1,1
克罗索,0:05:31.832000,47,47
克里托夫,0:00:03.573000,1,1
克雷门斯,0:00:03.972000,1,1
全部,0:00:02.989000,1,1
八木,0:00:04.367000,2,2
八重神子,2:11:54.812000,1065,1065
公主,0:03:07.780000,38,38
公俊,0:00:09.803000,1,1
公明,0:00:01.536000,1,1
六指乔瑟,0:01:18.553000,19,19
兰丘,0:00:24.696000,6,6
兰巴德,0:01:41.620000,13,13
兰溪,0:00:55.821000,6,6
兰达,0:00:05.553000,1,1
兰道夫,0:00:02.149000,1,1
兰道尔,0:01:00.321000,11,11
兰那罗A,0:00:01.112000,1,1
关宏,0:00:35.376000,5,5
兴修,0:01:56.680000,25,25
兴叔,0:01:31.336000,14,14
兴奋的观众,0:00:22.821000,8,8
其老爷,0:00:03.524000,1,1
内嘉,0:00:50.200000,12,12
内尔敏,0:00:04.497000,2,2
内尔森,0:00:05,2,2
内村,0:00:54.627000,14,14
内森,0:00:09.329000,2,2
内海,0:00:03.477000,1,1
冈崎绘里香,0:00:10.533000,2,2
冈崎陆斗,0:00:38.089000,6,6
冈林,0:00:43.584000,8,8
冒失的帕拉德,0:02:58.193000,32,32
冒险家,0:00:24.205000,5,5
农夫,0:00:04.788000,1,1
冰封之心,0:01:50.376000,9,9
冷静的守卫,0:00:06.179000,2,2
凉子,0:00:37.117000,7,7
凝光,1:39:23.271000,904,904
几原凯,0:00:05.163000,1,1
凯万,0:00:08.788000,2,2
凯亚,2:11:39.277000,1287,1287
凯叔,0:00:11.107000,2,2
凯瑟琳,0:33:26.583000,330,330
凯西娅,0:03:51.897000,36,36
凶恶的男人,0:00:05.488000,3,3
刀疤刘,0:02:05.717000,16,16
判官儿,0:00:04.567000,1,1
利弗,0:00:32.737000,7,7
利彦,0:00:50.403000,9,9
利文斯通博士,0:00:04.521000,2,2
利瓦尔,0:00:01.789000,1,1
刺玫会成员,0:00:33.041000,6,6
刻晴,1:01:34.888000,612,612
刻薄的男子,0:00:16.088000,2,2
削月筑阳真君,0:03:09.652000,31,31
前田,0:00:11.409000,4,4
剑鱼二番队代理队长,0:00:25.508000,5,5
剑鱼二番队老兵,0:00:19.972000,3,3
加埃特,0:00:39.715000,9,9
加扎里,0:00:14.684000,4,4
加斯帕尔,0:00:19.784000,5,5
加斯顿,0:00:05.251000,2,2
加福尔,0:02:28.243000,29,29
加萨尼,0:05:08.536000,48,48
加藤信悟,0:01:27.955000,14,14
加藤洋平,0:04:40.213000,45,45
加里克,0:00:11.880000,3,3
动摇的剑客,0:00:09.584000,1,1
努查赫,0:00:06.315000,1,1
劳伦斯,0:02:50.064000,35,35
劳维克,0:12:17.200000,107,107
劳莉,0:00:19.561000,4,4
勒泰利埃,0:00:01.913000,1,1
勘解由小路健三郎,0:00:18.380000,2,2
勤奋的武士,0:00:37.752000,6,6
勿忘,0:00:02.805000,1,1
匆忙的囚犯,0:00:02.069000,1,1
北斗,1:14:50.923000,860,860
北村,0:02:17.392000,23,23
北风之狼,0:00:26.133000,4,4
千叶,0:00:07.603000,2,2
千岩军守卫,0:00:45.908000,14,14
千岩军队长,0:00:10.896000,2,2
千晶,0:00:06.767000,2,2
千织,0:07:01.269000,91,91
卉卉,0:00:09.016000,3,3
半四郎,0:00:32.521000,5,5
华清,0:00:20.321000,7,7
卓也,0:04:42.421000,51,51
卓英,0:00:18.699000,4,4
卖力的西瑞,0:00:14.307000,3,3
博学的武人,0:00:04.701000,1,1
博尼法兹,0:00:06.305000,2,2
博彦,0:00:42.347000,10,10
博易,0:07:26.857000,63,63
博来,0:10:10.457000,94,94
博纳,0:00:20.301000,6,6
博行,0:00:07.275000,2,2
博诺,0:00:14.563000,5,5
卜劳恩,0:00:01.996000,1,1
卡丁,0:00:42.888000,9,9
卡万,0:00:30.116000,6,6
卡乌斯,0:00:09.800000,4,4
卡利贝尔,0:01:08.769000,16,16
卡卡塔,0:00:10.925000,8,8
卡嘉妮,0:00:03.968000,2,2
卡塔扬,0:01:16.579000,14,14
卡姆兰,0:00:09.285000,3,3
卡姆拉,0:00:09.523000,2,2
卡斯帕,0:00:04.364000,1,1
卡格姆尼,0:00:13.893000,4,4
卡桑,0:00:30.109000,5,5
卡玛尔,0:01:43.137000,17,17
卡琵莉亚,0:00:58.615000,10,10
卡瓦贾,0:01:11.639000,10,10
卡维,2:01:35.176000,991,991
卡莉娜,0:04:37.760000,53,53
卡莉露,0:09:07.903000,100,100
卡萝蕾,0:02:45.832000,33,33
卡西特,0:01:26.848000,23,23
卡西米,0:00:35.703000,7,7
卡里尔,0:00:15.115000,4,4
卡里玛,0:00:09.315000,2,2
卡门,0:00:22.867000,6,6
卡齐姆,0:00:09.565000,2,2
卢克,0:00:07.819000,3,3
卢卡,0:01:37.388000,19,19
卢森巴博,0:01:02.489000,17,17
卢正,0:00:40.920000,8,8
卯师傅,0:04:06.845000,43,43
厄桑,0:00:07.223000,2,2
厨师,0:00:07.199000,2,2
参赛者,0:00:42.860000,17,17
友人,0:00:06.251000,2,2
友浩,0:00:07.293000,2,2
友里,0:00:24.725000,7,7
双叶,0:00:02.801000,1,1
反抗军士兵,0:00:05.663000,2,2
反驳的观众,0:00:07.161000,1,1
受灾的女性居民,0:00:11.281000,2,2
受灾的男性居民,0:00:13.705000,3,3
古尔根,0:00:12.496000,4,4
古山,0:04:39.068000,30,30
古德温,0:00:11.831000,3,3
古思塔斯普,0:00:06.948000,2,2
古拉姆,0:00:24.356000,4,4
古拉布吉尔,0:00:05.336000,2,2
古泽,0:00:45.088000,12,12
古田,0:05:07.220000,29,29
古谷升,0:01:58.520000,17,17
古齐安,0:00:08.015000,2,2
另一只浮游水蕈兽,0:00:00.920000,1,1
可疑的路人,0:01:00.539000,21,21
可莉,1:14:00.119000,894,894
史蒂文斯,0:00:02.459000,1,1
叶卡捷琳娜,0:02:05.188000,24,24
叶名山薰,0:00:03.332000,1,1
叶戈尔,0:00:08.417000,2,2
叹气的观众,0:00:01.991000,1,1
合成,0:00:56.979000,6,6
吉丽安娜,0:00:04.440000,2,2
吉尼亚克,0:00:17.067000,5,5
吉川,0:00:26.347000,4,4
吉沃尼,0:00:27.617000,4,4
吉盖克斯,0:00:02.983000,1,1
吉祥,0:00:19.068000,3,3
向明,0:00:01.889000,1,1
君君,0:00:34.705000,10,10
吴老七,0:00:29.641000,6,6
吴老二,0:01:56.417000,23,23
吴老五,0:00:34.269000,6,6
吴船长,0:08:37.115000,73,73
周平,0:01:32.911000,11,11
周良,0:01:24.700000,16,16
命运使徒,0:00:22.357000,3,3
和声,0:00:02.273000,1,1
和昭,0:00:59.105000,14,14
和泉那希,0:00:30.271000,7,7
咲耶,0:00:02.055000,1,1
哈亚提,0:00:02.153000,1,1
哈伦,0:02:43.183000,26,26
哈兹姆,0:00:10.307000,2,2
哈勒敦,0:00:10.792000,3,3
哈坎,0:00:08.440000,4,4
哈多,0:01:43.487000,17,17
哈夫丹,0:00:18.485000,3,3
哈姆宰,0:00:20.013000,6,6
哈尔瓦,0:00:17.257000,4,4
哈尔瓦尼,0:00:07.869000,2,2
哈巴奇,0:00:05.217000,2,2
哈彦,0:00:04.208000,1,1
哈扬,0:00:10.781000,2,2
哈拉夫,0:00:52.403000,10,10
哈比,0:00:06.877000,1,1
哈比卜,0:00:06.641000,1,1
哈特姆,0:00:19.196000,3,3
哈特曼,0:00:23.240000,4,4
哈琳,0:00:07.064000,2,2
哈瓦,0:00:05.239000,2,2
哈瓦德,0:00:07.784000,2,2
哈立德,0:00:10.181000,2,2
哈里,0:00:33.875000,8,8
哈里斯,0:00:03.341000,1,1
哈里森,0:00:26.241000,6,6
哈马沙,0:00:06.391000,1,1
哈马维,0:00:08.617000,2,2
响太,0:00:58.032000,10,10
哲夫,0:01:59.293000,14,14
哲平,0:16:06.039000,163,163
哲瓦德,0:01:24.232000,16,16
哲远,0:00:03.625000,1,1
唐娜,0:03:39.192000,43,43
唐无仇,0:00:04.341000,1,1
